vType_id,vType_length,vType_vClass,flow_begin,flow_departPos,flow_departSpeed,flow_end,flow_id,flow_number,route_edges
,,,11.33,last,max,12.33,0_882,1,gneE43 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 10137507#1
,,,11.78,last,max,130.49,0_670,3,749736413#1 749736413#1.127 -598977856#0 -10150738
,,,12.69,last,max,43.50,0_510,3,363648686#3 363648686#5 -598977856#0 -10150738
,,,13.59,last,max,14.59,0_430,1,145218802#36 145218802#37 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,14.50,last,max,75.21,0_754,2,gneE14 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,14.95,last,max,15.95,0_570,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 69221466#0 69221466#1
,,,15.86,last,max,73.40,0_479,2,363648686#2 363648686#3 363648686#5 -598977856#0 -10150738
,,,16.31,last,max,130.94,0_278,2,10133292 10133290#0 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,16.76,last,max,17.76,0_197,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,17.22,last,max,18.22,0_769,1,gneE16 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -145216628#2 -145216628#1
,,,17.67,last,max,135.47,0_671,7,749736413#1 749736413#1.127 -598977856#0 138668049
,,,18.12,last,max,19.12,0_132,1,-32921656#0 683763238#1.51 692513879#1 683763253#1 683763253#1.209 -598977856#0 138668049
,,,18.58,last,max,19.58,0_560,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 -697666080 -697666080.66 -207412432#8 gneE13
,,,19.48,last,max,29.00,0_31,2,-10137014#3 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,19.94,last,max,20.94,0_395,1,145216628#1 145216628#2 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -139051731#19 -139051731#18
,,,20.39,last,max,21.39,0_790,1,gneE2 591388269#1.160 591388269#1.258 692123188 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,20.84,last,max,21.84,0_523,1,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 172099960#1 172099960#2
,,,21.29,last,max,22.29,0_492,1,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 -10131659#5 10128856#0
,,,21.75,last,max,22.75,0_540,1,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 gneE9
,,,22.20,last,max,136.38,0_163,4,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,22.65,last,max,23.65,0_160,1,-632830121#1 -696962877#4 -696962877#1.83 -10147126#9
,,,23.56,last,max,24.56,0_269,1,10131659#1 10131659#5 gneE41 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,24.92,last,max,25.92,0_115,1,-172099960#8 -172099960#1 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,25.37,last,max,26.37,0_50,1,-10150792#4 -10150792#1 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,26.28,last,max,27.28,0_254,1,10131659#1 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 10137014#1
,,,26.73,last,max,27.73,0_640,1,684464938#1 692513877#1 692513877#1.27 692123191 692513882 692513882.119 692513882.255 -10124969#6 -10124969#5
,,,27.18,last,max,118.25,0_365,3,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 439745512 692513874#1
