vType_id,vType_length,vType_vClass,flow_begin,flow_departPos,flow_departSpeed,flow_end,flow_id,flow_number,route_edges
,,,562.92,last,max,563.92,560_18,1,-10128856#0 10131659#5 gneE41 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 10137507#1
,,,563.33,last,max,653.33,560_607,2,683763247#0 683763248 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,563.75,last,max,583.33,560_22,4,-10137014#3 -10147126#9
,,,564.17,last,max,620.42,560_192,3,-69221466#3 -69221466#0 -69221466#0.18 -10131659#5 10128856#0
,,,564.58,last,max,572.50,560_447,2,363648686#0 363648686#2 363648686#3 363648686#5 105826050#1
,,,565.00,last,max,566.00,560_460,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 -697666080 -697666080.66 -207412432#8 gneE13
,,,565.42,last,max,566.42,560_255,1,10131659#1 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 696962877#0 632830122
,,,565.83,last,max,566.83,560_172,1,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513873 692513873.472 146626844#2 gneE7
,,,566.25,last,max,567.25,560_201,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,567.08,last,max,839.17,560_164,15,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -10131659#5 10128856#0
,,,567.50,last,max,568.50,560_452,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 -591388258#1 -683763247#1
,,,568.33,last,max,569.33,560_166,1,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -139051731#19 -139051731#18
,,,568.75,last,max,569.75,560_829,1,gneE27 -697666085#8.761 -697666082#1 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 -10147126#9
,,,569.17,last,max,570.17,560_160,1,-632830121#1 -696962877#4 -696962877#1.83 -10147126#9
,,,569.58,last,max,615.42,560_336,4,10150738 598977856#0 10137507#1
,,,570.00,last,max,571.00,560_420,1,145218802#36 145218802#37 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -591388258#1 -683763247#1
,,,570.42,last,max,571.42,560_422,1,145218802#36 145218802#37 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,571.25,last,max,572.25,560_538,1,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 69221466#0 69221466#1
,,,571.67,last,max,681.67,560_23,4,-10137014#3 -697666085#15 -697666085#12 -10133290#0 -10150790#3
,,,572.08,last,max,573.08,560_581,1,683763247#0 591388258#0 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 172099960#1 172099960#2
,,,572.92,last,max,573.92,560_511,1,363648686#3 363648686#5 -598977856#0 138668049
,,,573.33,last,max,574.33,560_419,1,145218802#36 145218802#37 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -139051731#19 -139051731#18
,,,573.75,last,max,595.42,560_334,3,10147126#4 10137014#1
,,,574.17,last,max,575.17,560_175,1,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,574.58,last,max,703.75,560_483,7,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513881#1 621228441#0-AddedOnRampEdge
,,,575.00,last,max,641.67,560_163,4,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,575.42,last,max,604.17,560_151,2,-32921656#0 683763238#1.51 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 -10147126#9
,,,575.83,last,max,587.08,560_431,3,145218802#36 145218802#37 172099960#1 172099960#2
,,,576.25,last,max,689.58,560_671,7,749736413#1 749736413#1.127 -598977856#0 138668049
,,,576.67,last,max,577.67,560_469,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 696962877#0 632830122
,,,577.08,last,max,602.50,560_471,2,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 gneE29
,,,577.92,last,max,578.92,560_380,1,139051731#16 139051731#19 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -145216628#2 -145216628#1
,,,578.33,last,max,579.33,560_436,1,145218802#36 145218802#37 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,578.75,last,max,579.75,560_470,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 gneE31
,,,579.17,last,max,600.42,560_195,2,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -591388258#1 -683763247#1
,,,579.58,last,max,631.25,560_7,3,-10128856#0 10131659#5 10131659#5.37 69221466#0 69221466#1
,,,580.00,last,max,783.75,560_881,13,gneE43 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 10128564#0 621228441#0-AddedOnRampEdge
,,,580.42,last,max,581.42,560_97,1,-146626846#5 -146626846#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,580.83,last,max,581.83,560_339,1,10150738 598977856#0 591388269#1 591388269#1.160 591388269#1.258 692123188 692513881#1 621228441#0-AddedOnRampEdge
,,,581.25,last,max,625.42,560_403,4,145216628#1 145216628#2 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,581.67,last,max,582.67,560_358,1,10150738 598977856#0 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 gneE29
,,,582.08,last,max,628.33,560_259,2,10131659#1 10131659#5 10131659#5.37 69221466#0 69221466#1
,,,582.50,last,max,583.50,560_562,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,582.92,last,max,683.75,560_575,9,683763247#0 591388258#0 -139051731#19 -139051731#18
,,,583.75,last,max,644.58,560_542,2,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,584.17,last,max,585.17,560_533,1,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 10137014#1
,,,584.58,last,max,585.58,560_155,1,-32921656#0 683763238#1.51 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 gneE19
,,,585.00,last,max,586.00,560_125,1,-172099960#8 -172099960#1 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,585.83,last,max,707.08,560_479,6,363648686#2 363648686#3 363648686#5 -598977856#0 -10150738
,,,586.25,last,max,587.25,560_134,1,-32921656#0 683763238#1.51 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,586.67,last,max,587.67,560_194,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -139051731#19 -139051731#18
,,,587.50,last,max,664.17,560_605,2,683763247#0 683763248 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 138668049
,,,589.17,last,max,590.17,560_204,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 10137507#1
,,,589.58,last,max,590.58,560_603,1,683763247#0 683763248 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,590.00,last,max,591.00,560_569,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 gneE31
,,,590.42,last,max,591.42,560_284,1,10133292 10133290#0 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,590.83,last,max,591.83,560_398,1,145216628#1 145216628#2 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,591.25,last,max,592.25,560_247,1,10124969#4 10124969#6 692513877#1 692513877#1.27 692123191 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,591.67,last,max,592.67,560_459,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 -10131659#5 10128856#0
,,,592.08,last,max,593.08,560_202,1,-69221466#3 -69221466#0 -69221466#0.18 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,592.50,last,max,622.92,560_477,3,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,592.92,last,max,593.92,560_568,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 696962877#0 632830122
,,,593.33,last,max,594.33,560_83,1,-146626846#5 -146626846#0 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,593.75,last,max,645.42,560_121,2,-172099960#8 -172099960#1 207412432#3 207412432#4 207412432#4.140 697666080 -10131659#5 10128856#0
,,,594.17,last,max,595.17,560_556,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 -145218802#37 -145218802#36
,,,594.58,last,max,595.58,560_165,1,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -145218802#37 -145218802#36
,,,595.00,last,max,596.00,560_232,1,10124969#4 10124969#6 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,596.25,last,max,641.25,560_288,2,10133292 10133290#0 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,596.67,last,max,597.67,560_291,1,10133292 10133290#0 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,597.08,last,max,722.50,560_364,16,139051731#16 139051731#19 -591388258#1 -683763247#1
,,,597.50,last,max,598.50,560_240,1,10124969#4 10124969#6 692513877#1 692513877#1.27 10128564#0 621228441#0-AddedOnRampEdge
,,,597.92,last,max,638.33,560_278,3,10133292 10133290#0 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,598.33,last,max,599.33,560_131,1,-32921656#0 683763238#1.51 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,598.75,last,max,622.08,560_105,4,-172099960#8 -172099960#1 -145218802#37 -145218802#36
,,,599.17,last,max,600.17,560_791,1,gneE2 591388269#1.160 591388269#1.258 692123188 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,600.00,last,max,601.00,560_492,1,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 -10131659#5 10128856#0
,,,601.25,last,max,642.50,560_508,3,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,601.67,last,max,602.67,560_101,1,-146626846#5 -146626846#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,602.08,last,max,603.08,560_632,1,684464938#1 692513873 692513873.472 146626844#2 gneE7
,,,602.92,last,max,603.92,560_1,1,-10128856#0 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,603.33,last,max,612.50,560_672,3,749736413#1 749736413#1.127 105826050#1
,,,603.75,last,max,604.75,560_623,1,684464938#1 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,604.58,last,max,605.58,560_495,1,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,605.42,last,max,606.42,560_564,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 -10133290#0 -10150790#3
,,,605.83,last,max,606.83,560_123,1,-172099960#8 -172099960#1 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,606.25,last,max,620.00,560_505,2,363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 69221466#0 69221466#1
,,,606.67,last,max,607.67,560_822,1,gneE27 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
,,,607.92,last,max,608.92,560_526,1,363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -145216628#2 -145216628#1
,,,608.33,last,max,609.33,560_883,1,gneE43 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,609.17,last,max,610.17,560_769,1,gneE16 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -145216628#2 -145216628#1
,,,609.58,last,max,610.58,560_644,1,69232295#0 508466788#0 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 -139051731#19 -139051731#18
,,,610.00,last,max,611.00,560_257,1,10131659#1 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 gneE29
,,,610.42,last,max,682.50,560_365,2,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 439745512 692513874#1
,,,610.83,last,max,713.33,560_182,4,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 gneE11
,,,611.25,last,max,709.17,560_480,4,363648686#2 363648686#3 363648686#5 -598977856#0 138668049
,,,612.08,last,max,613.08,560_636,1,684464938#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 138668049
,,,612.92,last,max,613.92,560_687,1,749736413#1 749736413#1.127 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 -10133290#0 -10150790#3
,,,613.75,last,max,614.75,560_790,1,gneE2 591388269#1.160 591388269#1.258 692123188 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,614.17,last,max,615.17,560_584,1,683763247#0 591388258#0 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -145216628#2 -145216628#1
,,,615.83,last,max,628.75,560_50,2,-10150792#4 -10150792#1 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -508466788#1 -69232295#3
,,,616.25,last,max,617.25,560_249,1,10131659#1 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,617.50,last,max,648.75,560_126,2,-172099960#8 -172099960#1 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 -10147126#9
,,,617.92,last,max,618.92,560_552,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 -591388258#1 -683763247#1
,,,618.75,last,max,619.75,560_677,1,749736413#1 749736413#1.127 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 -591388258#1 -683763247#1
,,,619.58,last,max,657.08,560_369,3,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,620.83,last,max,699.58,560_161,8,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -10133290#0 -10150790#3
,,,621.67,last,max,622.67,560_56,1,-10150792#4 -10150792#1 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 -10124969#6 -10124969#5
